country,renewable_percent,oil_percent,gas_percent,nuclear_percent,hydroelec_percent,coal_percent,co2_percent,labels
Iraq,0.0017770670739373387,0.8258907449960216,0.5830318349700818,0.0,0.06473520249957075,0.0,0.46721905028506394,0
Israel,0.0902978451401389,0.2792444840480591,0.31522683722589595,0.0,0.0006041944221259652,0.1381139376492139,0.22984072943376255,0
Kuwait,0.0049576899444124,0.4344070693789829,0.6881753404983012,0.0,0.0,0.005008921153107615,0.30598449767314134,0
Oman,0.0001164523734921105,0.33703545965549997,0.7318756240176837,0.0,0.0,0.004538909683669366,0.27272392278317337,5
Qatar,0.003820763982997498,0.30174443890896796,1.2019527561656342,0.0,0.0,0.0,0.32232928044984854,0
Saudi Arabia,0.05523133739187695,3.8464303114720293,3.3256725461360013,0.0,0.0,0.0028238415202690324,1.8237748495330615,0
United Arab Emirates,0.12951200533689047,1.085646447907277,2.2237791459725376,0.0,0.0,0.06793254072861175,0.8886709370432561,0
Algeria,0.01938167561662746,0.4898110775512759,1.323824686881946,0.0,0.003958118781980616,0.013806028864694968,0.46264177497642367,0
Egypt,0.20059838488708243,0.835422990018898,1.7249670603527838,0.0,0.3498519794830702,0.05483021288803547,0.6838171885635309,0
Morocco,0.1947672955598761,0.31530572891732356,0.028552325022246767,0.0,0.03299166464441097,0.18403573432444728,0.214598095287985,0
South Africa,0.40319474766526886,0.6574304074962625,0.12533857452709019,0.5499192841888936,0.01985808152510888,2.5152138446711,1.5058326237935433,0
Eastern Africa,0.5124061191162735,0.737586305795263,0.06626946580398854,0.0,1.7989289672668465,0.12074625860700686,0.36680078752573875,0
Middle Africa,0.0028186858922204417,0.27615258222641964,0.13319276577593467,0.0,0.7155090237163311,1.7865927283994966e-06,0.13942007294615805,0
Western Africa,0.04164167091641165,0.8401288282732471,0.701196670860875,0.0,0.5000701429542442,0.02528588671320792,0.48333748462116055,0
Australia,1.4669308684400166,1.1902941387251043,1.5726491219448664,0.0,0.3734445914638241,1.175965799641347,1.3467882541439096,1
Bangladesh,0.013441785624970202,0.20322500660947188,1.0053888814040428,0.0,0.021504242207680907,0.0951862312548353,0.33493887534894534,3
China,23.055470713061275,15.502002958802194,8.993773429188265,13.490519961046488,33.171757063709755,53.864746244704264,30.900793566152036,0
India,4.2005801825422155,5.687358754220487,1.7464930950052366,1.7472637483325109,4.228459526176968,12.27993139281181,7.8003732354625335,5
Indonesia,1.3609574978906083,1.8803457489488307,1.2822659473638551,0.0,0.44395156349652015,2.2464097382214385,1.9878214831328966,0
Japan,3.8250891126814373,4.184342438527437,3.1640445511640873,2.5393282711879754,1.931431334623637,3.2350038021236864,3.5320734211110114,0
Malaysia,0.10818502397561143,0.871955016259156,1.2375179027209071,0.0,0.7065936366004704,0.5920177182669808,0.7688266793037053,0
New Zealand,0.33558447555124754,0.198365037299547,0.14045363401844324,0.0,0.6684489964764442,0.04091949510967452,0.120721596377521,0
Pakistan,0.21346305105519817,0.501297409061133,1.3363139855175838,0.36830618793632974,0.9302119553528884,0.36309616390739063,0.6236401384584395,0
Philippines,0.5220843399806716,0.5062972371105476,0.1194091683762256,0.0,0.25232630662804956,0.481103825784641,0.4405918874565034,5
Singapore,0.029494488415468305,1.6978284063048261,0.3728541907169955,0.0,0.0,0.01724460408093715,0.6883328440768222,0
South Korea,1.0068169475365696,2.9464760068527385,1.6378129012021343,5.648066513521241,0.07251626312242329,2.2662596381396787,2.008342689492017,0
Sri Lanka,0.025628185339177757,0.13620347549413683,0.0,0.0,0.12610483362783131,0.04157547532314243,0.07363543715009477,0
Taiwan,0.24802852088800414,1.0741873365182082,0.6806725661824967,1.250530268441436,0.14484947733319994,1.0753189946780717,0.8762113287615836,0
