country,renewable,oil,gas,nuclear,hydroelec,coal,co2_emission,energy_sum,renewable_per_total,oil_per_total,gas_per_total,nuclear_per_total,hydroelec_per_total,coal_per_total,CO2_per_energyunit,labels
Netherlands,0.2289645602022353,1.6538490628837792,1.3263408834632544,0.034852976845555106,0.0006612864891437938,0.2665,192.013193979265,3.511168769883968,6.521035450249854,47.10252258647291,37.77491115891547,0.9926317739123339,0.018833799583084326,7.590065230866328,54.68640403338127,6
North Macedonia,0.0016094431550173472,0.04551361801192835,0.010178656210890069,0.0,0.010373431478902087,0.04420307726027782,8.198160728440051,0.11187822611701569,1.438566923052568,40.681390464954944,9.097977831936669,0.0,9.272073609794552,39.50999117026125,73.27753587963961,5
Norway,0.06842156666311149,0.38637346175792026,0.16177994239122004,0.0,1.1165838613351973,0.03365287131495737,33.57706856965247,1.7668117034624065,3.8726009415166485,21.868400633794042,9.156603506428059,0.0,63.19767178058856,1.9047231376726852,19.00432768463768,4
Poland,0.24698231990987304,1.344660396944949,0.7335744349321174,0.0,0.017418697255223263,1.9104270984262328,303.89435414238085,4.253062947468395,5.807163518632788,31.616282513414205,17.24814431370625,0.0,0.40955653538096864,44.9188531188658,71.45305815971328,5
Portugal,0.17711164939818685,0.5095452837082278,0.22064569560350364,0.0,0.07791167554281031,0.057652236,51.408525566131715,1.0428665402527286,16.983155807766693,48.86006636906238,21.157615772199602,0.0,7.470915264375935,5.528246786595392,49.29540222248703,1
Romania,0.09606548545720543,0.4533225810572166,0.3918535954769109,0.10055419909873002,0.13757212995787166,0.1915661136675268,70.51374067117177,1.3709341047154615,7.007301454298849,33.06669368702474,28.58296355230293,7.334721541528805,10.034919219288433,13.973400545556236,51.43481399188545,0
Slovakia,0.022597643655910958,0.1699548798134249,0.17463040426375026,0.13805650831885144,0.03785936911102007,0.11419362348431893,30.112799523037697,0.6572924286472765,3.4379893440150293,25.85681386338134,26.56814480932692,21.0038184378565,5.759897339595947,17.373336205824266,45.813397828133446,0
Slovenia,0.008953020156640599,0.1063416563963838,0.0308415960006858,0.05189290212208112,0.03917308366183394,0.04305969072569143,13.126356027447475,0.2802619490633167,3.1945186232248513,37.943665471461884,11.004560591890437,18.515857145615403,13.977310795403042,15.364087372404377,46.83602633649698,0
Spain,0.745837717583895,2.7195611890490574,1.299984500677606,0.5209491209706116,0.22496183991019256,0.21005602142489305,278.51452935705964,5.721350389616255,13.036043360279498,47.53355421099222,22.721637588163855,9.105352504123646,3.931971031148143,3.6714413052926482,48.6798588428597,1
Sweden,0.3609843561948494,0.5749560700479179,0.037772487760097916,0.5974389672215721,0.5858656436126506,0.08471111564229003,46.340725802710374,2.241728640479378,16.102946167367314,25.647888850854294,1.6849714580985382,26.65081564438655,26.13454782320876,3.7788300560845376,20.671871236297687,4
Switzerland,0.044499713190410566,0.44431849548432595,0.1223942136926283,0.20529815649324049,0.3093602441679832,0.00429,38.1913054982501,1.1301608230285884,3.9374673306371464,39.314625532112125,10.829805032936648,18.16539312901375,27.373116981613656,0.3795919936866791,33.79280605029787,4
Turkey,0.4106835814027608,2.0323828108490183,1.5559228204064923,0.0,0.794799573644635,1.6964630300987582,383.26222222429533,6.490251816401665,6.327698724491904,31.31439069456345,23.97322730182031,0.0,12.246051403368954,26.13863187575538,59.05198027228227,0
Ukraine,0.04668197220285099,0.43927685062414457,1.0153097345132744,0.7399157869652251,0.06091356805009129,1.1032281663270245,185.43550299409247,3.4053260786826103,1.370851751762652,12.899700072014364,29.81534546336481,21.728191951928142,1.7887734285245422,32.39713733240551,54.45455110890007,5
United Kingdom,1.0801187768770335,3.1055354831299624,2.838301049058608,0.5008448928546431,0.053116166948632526,0.262245827701621,387.0921723248568,7.8401621965705015,13.77674019740952,39.61060250116263,36.2020705426242,6.388195553833391,0.6774881133437134,3.3449030916265285,49.37298012714346,1
Azerbaijan,0.002313676740301893,0.2149991111890117,0.4244124825000001,0.0,0.013947437935272429,5.160000000000002e-05,34.89086010475241,0.6557243083645862,0.3528429113863927,32.78803430747165,64.72422588061575,0.0,2.127027739761263,0.007869160764939973,53.209648719249415,2
Kazakhstan,0.00723743058602166,0.6871167033629525,0.6445032221916597,0.0,0.08902572686027417,1.6719179160317477,239.8903792222397,3.099800999032656,0.2334804907889319,22.16647789898057,20.791761225729896,0.0,2.871982004265955,53.936298380234646,77.38896119367064,3
Turkmenistan,6.204408029496107e-05,0.3120282410646726,1.135174864646864,0.0,2.8115952478492424e-05,0.0,85.78252693107314,1.44729326574431,0.004286904510887309,21.559434321295175,78.4343361166038,0.0,0.0019426575901348529,0.0,59.271005373577225,2
Uzbekistan,3.397369019982701e-05,0.09013295148658552,1.5628818787610612,0.0,0.05794346579270791,0.07269604980778208,98.4937595257012,1.7836883195383364,0.0019046875974733216,5.053178321530647,87.62079459967393,0.0,3.2485196633291373,4.0756027278688265,55.219153731518446,2
