country,renewable_per_total,oil_per_total,gas_per_total,nuclear_per_total,hydroelec_per_total,coal_per_total,CO2_per_energyunit,labels
Kuwait,0.0,60.2833049644083,39.71656879913513,0.0,0.0,0.00012623645657604648,62.07526371308836,5
Oman,0.0,33.04458616468493,66.95287893835284,0.0,0.0,0.002534896962233357,61.567948659106406,1
Qatar,0.0,15.948062440830613,84.05193755916939,0.0,0.0,0.0,46.41356302460105,1
Saudi Arabia,0.0,64.55214905527042,35.447850944729566,0.0,0.0,0.0,57.88839629746097,5
United Arab Emirates,0.0,43.13251618982999,56.86748381017001,0.0,0.0,0.0,64.13022046674676,1
Algeria,0.0,34.38483242852015,63.6845721668581,0.0,0.05001067440800293,1.88058473021374,57.971213479349885,1
Egypt,0.03964482187614073,57.162593003864494,34.044438116685896,0.0,6.965108854521971,1.788215203051503,58.30227281467963,5
Morocco,0.15152820116688379,71.15605932474081,0.37662637267021043,0.0,1.699957006840977,26.615829094581123,74.77287943801913,4
South Africa,0.11418778735046782,22.318549609617698,0.962332322367266,3.051731972570402,0.2582595286743944,73.29493877941977,87.17692529424878,0
Eastern Africa,1.4384486052046337,56.72335978286335,0.007990545133886544,0.0,29.59077099361378,12.239430073184367,52.00738718423066,6
Middle Africa,0.021199620376257455,57.95992068045314,7.615509342590999,0.0,34.40334965060756,2.070597206316551e-05,43.975717255953754,6
Western Africa,0.1356807272752618,65.87743580113916,21.527796827900477,0.0,12.27386005899776,0.18522658468734796,58.27069800535869,5
Australia,0.22633452712656735,35.60380797869548,15.649023249003694,0.0,3.4823055276146873,45.03852871755958,75.76004474142925,0
Bangladesh,0.0,29.037952053044062,66.61089117986607,0.0,1.529971001517167,2.821185765572699,48.031100445390486,1
China,0.07417348637133325,22.56626566819855,2.094183031246174,0.3942462573043119,5.238950235230446,69.63218132164918,79.16651757894746,0
India,0.2532510541088985,34.36387520474933,6.8437056213920044,1.1819023865272589,5.770717902379872,51.58654783084263,71.8827734659905,0
Indonesia,1.1434202461141638,55.6909551224298,27.883493556997152,0.0,2.3504837831621916,12.931647291296688,63.18787380681732,5
Japan,0.7507352802963664,50.490834282492514,12.34569293784456,14.463520020544438,3.8283359967864397,18.120881482035678,55.984708359081395,2
Malaysia,0.26006717917411293,44.6610698668379,47.15461163595731,0.0,3.18602258377298,4.73822873425769,59.800321442222696,5
New Zealand,4.44138821790643,33.58838345207809,26.10859296411634,0.0,30.149378973829883,5.712256392069262,40.09988149096407,6
Pakistan,0.536098076946604,46.459289660780435,37.388024835418236,0.5471194712735234,10.157503081166862,4.911964874414337,56.58052746444046,5
Philippines,10.788831434529847,66.35067718405232,0.034057922875902306,0.0,7.237407221563588,15.589026236978325,62.032804428165285,3
Singapore,0.15365448890633374,96.10424437254592,3.7421011385477416,0.0,0.0,0.0,67.1666389681115,4
South Korea,0.012371175027771027,55.38897113099279,8.736964289948181,13.350726452876971,0.49126842839014373,22.019698522764134,53.99088764165065,2
Sri Lanka,0.02142879136440635,82.05247048199688,0.0,0.0,17.91813567307257,0.007965053566144499,59.09381222926859,4
Taiwan,0.28356444024215177,50.86645033161673,6.519599590324502,10.30360148898575,1.2202809123719838,30.806503236458887,63.08525510763253,2
Thailand,0.1970849713495396,56.71060091885577,28.54110968915313,0.0,2.203683053687985,12.34752136695357,63.48555411317742,5
Vietnam,0.0,47.34345497475637,7.364580398214521,0.0,19.27929069056194,26.012673936467174,62.230481221305276,6
